OBJECTID,GEOID,B00001e1,B00001m1,B00002e1,B00002m1
1540,05000US28047,11979,-1,5297,-1
1541,05000US28049,17029,-1,7280,-1
1542,05000US28051,2404,-1,1119,-1
1543,05000US28053,1097,-1,485,-1
1544,05000US28055,236,-1,99,-1
1545,05000US28057,2146,-1,844,-1
1546,05000US28059,8034,-1,3625,-1
1547,05000US28061,1412,-1,671,-1
1548,05000US28063,490,-1,237,-1
1549,05000US28065,891,-1,444,-1
1550,05000US28067,4176,-1,1725,-1
1551,05000US28069,847,-1,377,-1
1552,05000US28071,3251,-1,1300,-1
1553,05000US28073,3256,-1,1369,-1
1554,05000US28075,5543,-1,2229,-1
1555,05000US28077,1360,-1,673,-1
1556,05000US28079,1819,-1,721,-1
1557,05000US28081,5823,-1,2449,-1
1558,05000US28083,2749,-1,1160,-1
1559,05000US28085,1938,-1,828,-1
1560,05000US28087,4406,-1,1892,-1
1561,05000US28089,6753,-1,2662,-1
1562,05000US28091,1946,-1,805,-1
1563,05000US28093,2229,-1,836,-1
1564,05000US28095,2908,-1,1319,-1
1565,05000US28097,918,-1,445,-1
1566,05000US28099,2412,-1,999,-1
1567,05000US28101,2093,-1,879,-1
1568,05000US28103,964,-1,473,-1
1569,05000US28105,3181,-1,1205,-1
1570,05000US28107,2249,-1,1051,-1
1571,05000US28109,3005,-1,1247,-1
1572,05000US28111,1132,-1,499,-1
1573,05000US28113,3032,-1,1346,-1
1574,05000US28115,2281,-1,1035,-1
1575,05000US28117,1711,-1,731,-1
1576,05000US28119,1191,-1,522,-1
1577,05000US28121,9185,-1,3380,-1
1578,05000US28123,2019,-1,822,-1
1579,05000US28125,624,-1,260,-1
1580,05000US28127,1894,-1,811,-1
1581,05000US28129,1545,-1,709,-1
1582,05000US28131,963,-1,359,-1
1583,05000US28133,3321,-1,1128,-1
1584,05000US28135,1660,-1,579,-1
1585,05000US28137,1925,-1,707,-1
1586,05000US28139,1789,-1,741,-1
1587,05000US28141,1715,-1,860,-1
1588,05000US28143,740,-1,325,-1
1589,05000US28145,2145,-1,906,-1
1590,05000US28147,922,-1,436,-1
1591,05000US28149,3296,-1,1470,-1
1592,05000US28151,4455,-1,1987,-1
1593,05000US28153,1104,-1,462,-1
1594,05000US28155,1283,-1,564,-1
1595,05000US28157,852,-1,384,-1
1596,05000US28159,1608,-1,708,-1
1597,05000US28161,1086,-1,532,-1
1598,05000US28163,2212,-1,821,-1
1599,05000US30001,1333,-1,835,-1
1600,05000US30003,2138,-1,869,-1
1601,05000US30005,1485,-1,679,-1
1602,05000US30007,607,-1,283,-1
1603,05000US30009,1804,-1,1041,-1
1604,05000US30011,406,-1,258,-1
1605,05000US30013,7991,-1,3596,-1
