OBJECTID,GEOID,B00001e1,B00001m1,B00002e1,B00002m1
1,05000US01001,4019,-1,1641,-1
2,05000US01003,11008,-1,5475,-1
3,05000US01005,3090,-1,1263,-1
4,05000US01007,1575,-1,646,-1
5,05000US01009,4888,-1,2066,-1
6,05000US01011,676,-1,307,-1
7,05000US01013,2188,-1,1053,-1
8,05000US01015,8697,-1,3838,-1
9,05000US01017,2715,-1,1369,-1
10,05000US01019,2298,-1,1117,-1
11,05000US01021,3243,-1,1374,-1
12,05000US01023,1527,-1,789,-1
13,05000US01025,1981,-1,1062,-1
14,05000US01027,1211,-1,572,-1
15,05000US01029,1360,-1,620,-1
16,05000US01031,6773,-1,3155,-1
17,05000US01033,4291,-1,2001,-1
18,05000US01035,984,-1,566,-1
19,05000US01037,1021,-1,574,-1
20,05000US01039,3998,-1,1978,-1
21,05000US01041,1654,-1,821,-1
22,05000US01043,6551,-1,2922,-1
23,05000US01045,5273,-1,2415,-1
24,05000US01047,3121,-1,1513,-1
25,05000US01049,5964,-1,2751,-1
26,05000US01051,6582,-1,2423,-1
27,05000US01053,3193,-1,1357,-1
28,05000US01055,8489,-1,3820,-1
29,05000US01057,1638,-1,765,-1
30,05000US01059,2482,-1,1087,-1
31,05000US01061,2903,-1,1350,-1
32,05000US01063,787,-1,462,-1
33,05000US01065,1600,-1,815,-1
34,05000US01067,1525,-1,757,-1
35,05000US01069,24767,-1,11542,-1
36,05000US01071,5109,-1,2474,-1
37,05000US01073,46535,-1,20886,-1
38,05000US01075,1518,-1,725,-1
39,05000US01077,7025,-1,3267,-1
40,05000US01079,2837,-1,1292,-1
41,05000US01081,10825,-1,4582,-1
42,05000US01083,6124,-1,2415,-1
43,05000US01085,1453,-1,690,-1
44,05000US01087,2528,-1,1094,-1
45,05000US01089,23780,-1,10444,-1
46,05000US01091,1920,-1,924,-1
47,05000US01093,2691,-1,1235,-1
48,05000US01095,10711,-1,4756,-1
49,05000US01097,29388,-1,12784,-1
50,05000US01099,1701,-1,972,-1
51,05000US01101,16379,-1,6849,-1
52,05000US01103,8678,-1,3708,-1
53,05000US01105,827,-1,378,-1
54,05000US01107,2081,-1,998,-1
55,05000US01109,3815,-1,1860,-1
56,05000US01111,1938,-1,939,-1
57,05000US01113,3630,-1,1671,-1
58,05000US01115,5330,-1,2127,-1
59,05000US01117,14809,-1,6014,-1
60,05000US01119,1182,-1,619,-1
61,05000US01121,6091,-1,2646,-1
62,05000US01123,3316,-1,1651,-1
63,05000US01125,14285,-1,6057,-1
64,05000US01127,5771,-1,2620,-1
65,05000US01129,1509,-1,721,-1
66,05000US01131,1084,-1,580,-1
67,05000US01133,2034,-1,1069,-1
68,05000US02013,1084,-1,357,-1
69,05000US02016,1592,-1,879,-1
70,05000US02020,19401,-1,7226,-1
71,05000US02050,6144,-1,1877,-1
72,05000US02060,487,-1,426,-1
73,05000US02068,373,-1,347,-1
74,05000US02070,1582,-1,831,-1
75,05000US02090,6172,-1,2428,-1
76,05000US02100,322,-1,208,-1
77,05000US02105,699,-1,525,-1
